date_time,year,month,day,hour,day_of_week,holiday,traffic_volume,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,weather_condition,is_holiday
2012-10-03 00:00:00,2012,10,3,0,Wednesday,None,506,284.63,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 01:00:00,2012,10,3,1,Wednesday,None,321,283.47,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 02:00:00,2012,10,3,2,Wednesday,None,273,281.18,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 03:00:00,2012,10,3,3,Wednesday,None,367,281.09,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 04:00:00,2012,10,3,4,Wednesday,None,814,279.53,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 05:00:00,2012,10,3,5,Wednesday,None,2718,278.62,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 06:00:00,2012,10,3,6,Wednesday,None,5673,278.23,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 08:00:00,2012,10,3,8,Wednesday,None,6511,278.12,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 09:00:00,2012,10,3,9,Wednesday,None,5471,282.48,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 12:00:00,2012,10,3,12,Wednesday,None,5097,291.97,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 13:00:00,2012,10,3,13,Wednesday,None,4887,293.23,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 14:00:00,2012,10,3,14,Wednesday,None,5337,294.31,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 15:00:00,2012,10,3,15,Wednesday,None,5692,295.17,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 16:00:00,2012,10,3,16,Wednesday,None,6137,295.13,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 18:00:00,2012,10,3,18,Wednesday,None,4623,293.66,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-03 19:00:00,2012,10,3,19,Wednesday,None,3591,290.65,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-03 20:00:00,2012,10,3,20,Wednesday,None,2898,288.19,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-03 21:00:00,2012,10,3,21,Wednesday,None,2637,287.1,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 22:00:00,2012,10,3,22,Wednesday,None,1777,286.25,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-03 23:00:00,2012,10,3,23,Wednesday,None,1015,285.26,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 00:00:00,2012,10,4,0,Thursday,None,598,284.55,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 01:00:00,2012,10,4,1,Thursday,None,369,283.47,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 02:00:00,2012,10,4,2,Thursday,None,312,283.17,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 03:00:00,2012,10,4,3,Thursday,None,367,282.04,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 04:00:00,2012,10,4,4,Thursday,None,835,281.69,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 05:00:00,2012,10,4,5,Thursday,None,2726,281.32,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 06:00:00,2012,10,4,6,Thursday,None,5689,280.74,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 07:00:00,2012,10,4,7,Thursday,None,6990,280.57,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 08:00:00,2012,10,4,8,Thursday,None,5985,281.86,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 09:00:00,2012,10,4,9,Thursday,None,5309,284.98,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 10:00:00,2012,10,4,10,Thursday,None,4603,289.18,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 11:00:00,2012,10,4,11,Thursday,None,4884,291.55,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 12:00:00,2012,10,4,12,Thursday,None,5104,294.97,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 13:00:00,2012,10,4,13,Thursday,None,5178,296.38,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 14:00:00,2012,10,4,14,Thursday,None,5501,297.32,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 15:00:00,2012,10,4,15,Thursday,None,5713,298.17,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-04 16:00:00,2012,10,4,16,Thursday,None,6292,298.06,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-04 17:00:00,2012,10,4,17,Thursday,None,6057,297.67,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-04 18:00:00,2012,10,4,18,Thursday,None,4907,296.36,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-04 19:00:00,2012,10,4,19,Thursday,None,3503,293.85,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-04 20:00:00,2012,10,4,20,Thursday,None,3037,292.43,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-04 21:00:00,2012,10,4,21,Thursday,None,2822,291.77,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-04 22:00:00,2012,10,4,22,Thursday,None,1992,291.36,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-04 23:00:00,2012,10,4,23,Thursday,None,1166,291.12,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-05 00:00:00,2012,10,5,0,Friday,None,627,290.63,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-05 01:00:00,2012,10,5,1,Friday,None,388,290.46,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-05 03:00:00,2012,10,5,3,Friday,None,368,289.26,0.0,0.0,0,Clear,sky is clear,Good weather,Non-holiday
2012-10-05 05:00:00,2012,10,5,5,Friday,None,2489,283.21,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-05 06:00:00,2012,10,5,6,Friday,None,5537,282.24,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-05 07:00:00,2012,10,5,7,Friday,None,6628,281.69,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-05 08:00:00,2012,10,5,8,Friday,None,5534,280.57,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-05 09:00:00,2012,10,5,9,Friday,None,5403,280.02,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-05 10:00:00,2012,10,5,10,Friday,None,4770,280.11,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-05 11:00:00,2012,10,5,11,Friday,None,5217,280.0,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-05 12:00:00,2012,10,5,12,Friday,None,5870,280.53,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-05 13:00:00,2012,10,5,13,Friday,None,5967,281.43,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-05 14:00:00,2012,10,5,14,Friday,None,6108,281.78,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-05 15:00:00,2012,10,5,15,Friday,None,6128,281.91,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-05 16:00:00,2012,10,5,16,Friday,None,6069,281.73,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-05 17:00:00,2012,10,5,17,Friday,None,6169,281.42,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-05 18:00:00,2012,10,5,18,Friday,None,5384,280.87,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-05 19:00:00,2012,10,5,19,Friday,None,4063,280.15,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-05 20:00:00,2012,10,5,20,Friday,None,3364,279.78,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-05 21:00:00,2012,10,5,21,Friday,None,2971,279.65,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-05 22:00:00,2012,10,5,22,Friday,None,2450,279.22,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-05 23:00:00,2012,10,5,23,Friday,None,1832,279.06,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-06 00:00:00,2012,10,6,0,Saturday,None,1231,278.81,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-06 01:00:00,2012,10,6,1,Saturday,None,718,278.55,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-06 02:00:00,2012,10,6,2,Saturday,None,545,278.59,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-06 04:00:00,2012,10,6,4,Saturday,None,411,276.99,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-06 05:00:00,2012,10,6,5,Saturday,None,688,276.35,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-06 06:00:00,2012,10,6,6,Saturday,None,1352,275.4,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-06 07:00:00,2012,10,6,7,Saturday,None,2072,275.17,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-06 08:00:00,2012,10,6,8,Saturday,None,3342,274.99,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-06 09:00:00,2012,10,6,9,Saturday,None,4258,275.09,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-06 10:00:00,2012,10,6,10,Saturday,None,4861,276.88,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-06 11:00:00,2012,10,6,11,Saturday,None,5191,278.04,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-06 12:00:00,2012,10,6,12,Saturday,None,5669,279.08,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-06 13:00:00,2012,10,6,13,Saturday,None,5074,280.12,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-06 14:00:00,2012,10,6,14,Saturday,None,5025,280.25,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-06 15:00:00,2012,10,6,15,Saturday,None,5153,280.0,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-06 16:00:00,2012,10,6,16,Saturday,None,5024,279.06,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-06 17:00:00,2012,10,6,17,Saturday,None,4779,278.91,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-06 18:00:00,2012,10,6,18,Saturday,None,4362,278.39,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-06 19:00:00,2012,10,6,19,Saturday,None,3860,278.16,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-06 20:00:00,2012,10,6,20,Saturday,None,3160,278.16,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-06 21:00:00,2012,10,6,21,Saturday,None,2992,277.93,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-06 22:00:00,2012,10,6,22,Saturday,None,3202,276.9,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-06 23:00:00,2012,10,6,23,Saturday,None,1941,276.34,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-07 00:00:00,2012,10,7,0,Sunday,None,1233,276.11,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-07 03:00:00,2012,10,7,3,Sunday,None,323,275.73,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-07 04:00:00,2012,10,7,4,Sunday,None,312,275.65,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-07 05:00:00,2012,10,7,5,Sunday,None,627,275.51,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-07 06:00:00,2012,10,7,6,Sunday,None,1508,275.05,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-07 07:00:00,2012,10,7,7,Sunday,None,1539,274.77,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-07 08:00:00,2012,10,7,8,Sunday,None,2232,274.77,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-07 09:00:00,2012,10,7,9,Sunday,None,4568,275.55,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-07 10:00:00,2012,10,7,10,Sunday,None,4624,276.24,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-07 11:00:00,2012,10,7,11,Sunday,None,4529,277.01,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-07 12:00:00,2012,10,7,12,Sunday,None,5139,277.43,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-07 13:00:00,2012,10,7,13,Sunday,None,6640,278.45,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-07 14:00:00,2012,10,7,14,Sunday,None,6589,279.27,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-07 15:00:00,2012,10,7,15,Sunday,None,4429,279.27,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-07 16:00:00,2012,10,7,16,Sunday,None,4329,279.44,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-07 17:00:00,2012,10,7,17,Sunday,None,3833,279.32,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-07 18:00:00,2012,10,7,18,Sunday,None,4015,279.27,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-07 19:00:00,2012,10,7,19,Sunday,None,3382,278.11,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-07 20:00:00,2012,10,7,20,Sunday,None,2815,276.79,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-07 21:00:00,2012,10,7,21,Sunday,None,2110,275.73,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-07 22:00:00,2012,10,7,22,Sunday,None,1555,274.88,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-07 23:00:00,2012,10,7,23,Sunday,None,959,273.92,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-08 00:00:00,2012,10,8,0,Monday,Columbus Day,455,273.08,0.0,0.0,20,Clouds,few clouds,Good weather,Holiday
2012-10-08 01:00:00,2012,10,8,1,Monday,None,336,272.62,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-08 02:00:00,2012,10,8,2,Monday,None,265,271.78,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-08 03:00:00,2012,10,8,3,Monday,None,314,271.05,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-08 04:00:00,2012,10,8,4,Monday,None,779,270.63,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-08 05:00:00,2012,10,8,5,Monday,None,2571,270.33,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-08 06:00:00,2012,10,8,6,Monday,None,5563,269.61,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-08 07:00:00,2012,10,8,7,Monday,None,6676,270.01,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-08 08:00:00,2012,10,8,8,Monday,None,5966,271.23,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-08 09:00:00,2012,10,8,9,Monday,None,4832,273.71,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-08 10:00:00,2012,10,8,10,Monday,None,4395,276.77,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-08 11:00:00,2012,10,8,11,Monday,None,4411,279.47,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-08 12:00:00,2012,10,8,12,Monday,None,4648,279.84,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-08 13:00:00,2012,10,8,13,Monday,None,4602,282.34,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-08 14:00:00,2012,10,8,14,Monday,None,5125,282.94,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-08 15:00:00,2012,10,8,15,Monday,None,5502,283.48,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-08 16:00:00,2012,10,8,16,Monday,None,5979,284.33,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-08 17:00:00,2012,10,8,17,Monday,None,5663,284.48,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-08 18:00:00,2012,10,8,18,Monday,None,4259,284.23,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-08 19:00:00,2012,10,8,19,Monday,None,3069,281.99,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-08 20:00:00,2012,10,8,20,Monday,None,2378,279.81,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-08 21:00:00,2012,10,8,21,Monday,None,2030,279.35,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-08 22:00:00,2012,10,8,22,Monday,None,1400,278.9,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-08 23:00:00,2012,10,8,23,Monday,None,917,278.46,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-09 00:00:00,2012,10,9,0,Tuesday,None,515,277.78,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-09 01:00:00,2012,10,9,1,Tuesday,None,302,277.27,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-09 02:00:00,2012,10,9,2,Tuesday,None,251,277.47,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-09 04:00:00,2012,10,9,4,Tuesday,None,798,276.97,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-09 05:00:00,2012,10,9,5,Tuesday,None,2678,276.52,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-09 06:00:00,2012,10,9,6,Tuesday,None,5733,276.6,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-09 07:00:00,2012,10,9,7,Tuesday,None,6449,277.31,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-09 08:00:00,2012,10,9,8,Tuesday,None,5765,278.38,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-09 09:00:00,2012,10,9,9,Tuesday,None,5599,279.35,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-09 10:00:00,2012,10,9,10,Tuesday,None,4534,281.37,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-09 11:00:00,2012,10,9,11,Tuesday,None,4691,283.11,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-09 12:00:00,2012,10,9,12,Tuesday,None,5067,284.08,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-09 13:00:00,2012,10,9,13,Tuesday,None,5030,285.14,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-09 14:00:00,2012,10,9,14,Tuesday,None,5300,286.35,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-09 15:00:00,2012,10,9,15,Tuesday,None,5777,287.23,0.0,0.0,100,Rain,light rain,Bad weather,Non-holiday
2012-10-09 16:00:00,2012,10,9,16,Tuesday,None,6349,288.53,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-09 17:00:00,2012,10,9,17,Tuesday,None,6127,290.37,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-09 18:00:00,2012,10,9,18,Tuesday,None,4460,290.13,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-09 19:00:00,2012,10,9,19,Tuesday,None,3418,288.86,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-09 20:00:00,2012,10,9,20,Tuesday,None,2775,287.36,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-09 21:00:00,2012,10,9,21,Tuesday,None,2306,285.11,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-09 22:00:00,2012,10,9,22,Tuesday,None,1846,283.46,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-09 23:00:00,2012,10,9,23,Tuesday,None,947,282.45,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-10 00:00:00,2012,10,10,0,Wednesday,None,494,281.88,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-10 01:00:00,2012,10,10,1,Wednesday,None,332,281.78,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-10 02:00:00,2012,10,10,2,Wednesday,None,261,281.09,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-10 03:00:00,2012,10,10,3,Wednesday,None,361,281.17,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-10 06:00:00,2012,10,10,6,Wednesday,None,5875,281.25,0.0,0.0,92,Clear,sky is clear,Good weather,Non-holiday
2012-10-10 07:00:00,2012,10,10,7,Wednesday,None,6793,281.25,0.0,0.0,99,Rain,light rain,Bad weather,Non-holiday
2012-10-10 07:00:00,2012,10,10,7,Wednesday,None,6793,281.25,0.0,0.0,99,Drizzle,light intensity drizzle,Bad weather,Non-holiday
2012-10-10 08:00:00,2012,10,10,8,Wednesday,None,6283,280.1,0.0,0.0,99,Rain,light rain,Bad weather,Non-holiday
2012-10-10 08:00:00,2012,10,10,8,Wednesday,None,6283,280.1,0.0,0.0,99,Drizzle,light intensity drizzle,Bad weather,Non-holiday
2012-10-10 09:00:00,2012,10,10,9,Wednesday,None,5680,279.61,0.0,0.0,99,Rain,light rain,Bad weather,Non-holiday
2012-10-10 09:00:00,2012,10,10,9,Wednesday,None,5680,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,Bad weather,Non-holiday
2012-10-10 10:00:00,2012,10,10,10,Wednesday,None,4632,279.67,0.0,0.0,99,Clear,sky is clear,Good weather,Non-holiday
2012-10-10 11:00:00,2012,10,10,11,Wednesday,None,4887,280.19,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-10 12:00:00,2012,10,10,12,Wednesday,None,5030,282.09,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-10 13:00:00,2012,10,10,13,Wednesday,None,5067,282.26,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-10 14:00:00,2012,10,10,14,Wednesday,None,5227,282.05,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-10 15:00:00,2012,10,10,15,Wednesday,None,5610,281.59,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-10 16:00:00,2012,10,10,16,Wednesday,None,6286,281.23,0.0,0.0,81,Clear,sky is clear,Good weather,Non-holiday
2012-10-10 18:00:00,2012,10,10,18,Wednesday,None,4775,282.6,0.0,0.0,81,Clear,sky is clear,Good weather,Non-holiday
2012-10-10 19:00:00,2012,10,10,19,Wednesday,None,3340,282.6,0.0,0.0,81,Clear,sky is clear,Good weather,Non-holiday
2012-10-10 20:00:00,2012,10,10,20,Wednesday,None,3013,282.6,0.0,0.0,81,Clear,sky is clear,Good weather,Non-holiday
2012-10-10 21:00:00,2012,10,10,21,Wednesday,None,2603,282.6,0.0,0.0,81,Clear,sky is clear,Good weather,Non-holiday
2012-10-10 22:00:00,2012,10,10,22,Wednesday,None,1910,282.6,0.0,0.0,81,Clear,sky is clear,Good weather,Non-holiday
2012-10-10 23:00:00,2012,10,10,23,Wednesday,None,1037,282.6,0.0,0.0,81,Clear,sky is clear,Good weather,Non-holiday
2012-10-11 01:00:00,2012,10,11,1,Thursday,None,347,273.9,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-11 03:00:00,2012,10,11,3,Thursday,None,350,274.4,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-11 04:00:00,2012,10,11,4,Thursday,None,850,274.05,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
